From,Entry,Entry Name,Domain [FT],Organism,Protein families,Gene Names
7ksi,P53779,MK10_HUMAN,"DOMAIN 64..359; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MAPK10 JNK3 JNK3A PRKM10 SAPK1B
7ksj,P53779,MK10_HUMAN,"DOMAIN 64..359; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MAPK10 JNK3 JNK3A PRKM10 SAPK1B
7ksk,P53779,MK10_HUMAN,"DOMAIN 64..359; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MAPK10 JNK3 JNK3A PRKM10 SAPK1B
7kx6,O15075,DCLK1_HUMAN,"DOMAIN 57..143; /note=""Doublecortin 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00072""; DOMAIN 186..269; /note=""Doublecortin 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00072""; DOMAIN 390..647; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily",DCLK1 DCAMKL1 DCDC3A KIAA0369
7kx8,O15075,DCLK1_HUMAN,"DOMAIN 57..143; /note=""Doublecortin 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00072""; DOMAIN 186..269; /note=""Doublecortin 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00072""; DOMAIN 390..647; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily",DCLK1 DCAMKL1 DCDC3A KIAA0369
7kxl,Q06187,BTK_HUMAN,"DOMAIN 3..133; /note=""PH""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00145""; DOMAIN 214..274; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 281..377; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 402..655; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, TEC subfamily",BTK AGMX1 ATK BPK
7kxm,Q06187,BTK_HUMAN,"DOMAIN 3..133; /note=""PH""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00145""; DOMAIN 214..274; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 281..377; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 402..655; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, TEC subfamily",BTK AGMX1 ATK BPK
7kxn,Q06187,BTK_HUMAN,"DOMAIN 3..133; /note=""PH""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00145""; DOMAIN 214..274; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 281..377; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 402..655; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, TEC subfamily",BTK AGMX1 ATK BPK
6ul8,O43353,RIPK2_HUMAN,"DOMAIN 18..294; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 432..524; /note=""CARD""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00046""",Homo sapiens (Human),"Protein kinase superfamily, TKL Ser/Thr protein kinase family",RIPK2 CARDIAK RICK RIP2 UNQ277/PRO314/PRO34092
6umw,P54762,EPHB1_HUMAN,"DOMAIN 19..201; /note=""Eph LBD""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00883""; DOMAIN 322..432; /note=""Fibronectin type-III 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 433..528; /note=""Fibronectin type-III 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 619..882; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 911..975; /note=""SAM""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00184""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily",EPHB1 ELK EPHT2 HEK6 NET
6una,P53778,MK12_HUMAN,"DOMAIN 27..311; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MAPK12 ERK6 SAPK3
6unp,Q13873,BMPR2_HUMAN,"DOMAIN 203..504; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily",BMPR2 PPH1
6unq,Q04771,ACVR1_HUMAN,"DOMAIN 178..207; /note=""GS""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00585""; DOMAIN 208..502; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily",ACVR1 ACVRLK2
6unr,Q04771,ACVR1_HUMAN,"DOMAIN 178..207; /note=""GS""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00585""; DOMAIN 208..502; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily",ACVR1 ACVRLK2
6uns,Q04771,ACVR1_HUMAN,"DOMAIN 178..207; /note=""GS""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00585""; DOMAIN 208..502; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily",ACVR1 ACVRLK2
6urc,O75460,ERN1_HUMAN,"DOMAIN 571..832; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 835..963; /note=""KEN""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00725""",Homo sapiens (Human),"Protein kinase superfamily, Ser/Thr protein kinase family",ERN1 IRE1
6uuo,P15056,BRAF_HUMAN,"DOMAIN 155..227; /note=""RBD""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00262""; DOMAIN 457..717; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, TKL Ser/Thr protein kinase family, RAF subfamily",BRAF BRAF1 RAFB1
6uwy,Q13627,DYR1A_HUMAN,"DOMAIN 159..479; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MNB/DYRK subfamily",DYRK1A DYRK MNB MNBH
6uya,Q9NWZ3,IRAK4_HUMAN,"DOMAIN 20..104; /note=""Death""; DOMAIN 186..454; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, TKL Ser/Thr protein kinase family, Pelle subfamily",IRAK4
6v2u,P15056,BRAF_HUMAN,"DOMAIN 155..227; /note=""RBD""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00262""; DOMAIN 457..717; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, TKL Ser/Thr protein kinase family, RAF subfamily",BRAF BRAF1 RAFB1
6v2w,P15056,BRAF_HUMAN,"DOMAIN 155..227; /note=""RBD""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00262""; DOMAIN 457..717; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, TKL Ser/Thr protein kinase family, RAF subfamily",BRAF BRAF1 RAFB1
6v2w,Q02750,MP2K1_HUMAN,"DOMAIN 68..361; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily",MAP2K1 MEK1 PRKMK1
6v34,P15056,BRAF_HUMAN,"DOMAIN 155..227; /note=""RBD""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00262""; DOMAIN 457..717; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, TKL Ser/Thr protein kinase family, RAF subfamily",BRAF BRAF1 RAFB1
6v5n,P00533,EGFR_HUMAN,"DOMAIN 712..979; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, EGF receptor subfamily",EGFR ERBB ERBB1 HER1
6v5p,P00533,EGFR_HUMAN,"DOMAIN 712..979; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, EGF receptor subfamily",EGFR ERBB ERBB1 HER1
6v66,P00533,EGFR_HUMAN,"DOMAIN 712..979; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, EGF receptor subfamily",EGFR ERBB ERBB1 HER1
6v6a,S7V0W9,S7V0W9_TOXGG,,Toxoplasma gondii (strain ATCC 50853 / GT1),,TGGT1_246950
6v6a,Q2QDG8,Q2QDG8_TOXGO,"DOMAIN 13..306; /note=""Protein kinase""; /evidence=""ECO:0000259|PROSITE:PS50011""",Toxoplasma gondii,"Protein kinase superfamily, Ser/Thr protein kinase family, MAP kinase subfamily",MAPK2
6v6k,P00533,EGFR_HUMAN,"DOMAIN 712..979; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, EGF receptor subfamily",EGFR ERBB ERBB1 HER1
6v6l,P49841,GSK3B_HUMAN,"DOMAIN 56..340; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, GSK-3 subfamily",GSK3B
6v6o,P00533,EGFR_HUMAN,"DOMAIN 712..979; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, EGF receptor subfamily",EGFR ERBB ERBB1 HER1
6v6q,P21802,FGFR2_HUMAN,"DOMAIN 25..125; /note=""Ig-like C2-type 1""; DOMAIN 154..247; /note=""Ig-like C2-type 2""; DOMAIN 256..358; /note=""Ig-like C2-type 3""; DOMAIN 481..770; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, Fibroblast growth factor receptor subfamily",FGFR2 BEK KGFR KSAM
6v9c,P22455,FGFR4_HUMAN,"DOMAIN 22..118; /note=""Ig-like C2-type 1""; DOMAIN 152..240; /note=""Ig-like C2-type 2""; DOMAIN 249..349; /note=""Ig-like C2-type 3""; DOMAIN 467..755; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, Fibroblast growth factor receptor subfamily",FGFR4 JTK2 TKF
6vbz,D3ZKP6,D3ZKP6_RAT,,Rattus norvegicus (Rat),,Mlkl
6vc0,F6S337,F6S337_HORSE,"DOMAIN 269..540; /note=""Protein kinase""; /evidence=""ECO:0000259|PROSITE:PS50011""",Equus caballus (Horse),,MLKL
6vg3,Q13308,PTK7_HUMAN,"DOMAIN 31..120; /note=""Ig-like C2-type 1""; DOMAIN 128..218; /note=""Ig-like C2-type 2""; DOMAIN 225..317; /note=""Ig-like C2-type 3""; DOMAIN 309..407; /note=""Ig-like C2-type 4""; DOMAIN 412..497; /note=""Ig-like C2-type 5""; DOMAIN 503..586; /note=""Ig-like C2-type 6""; DOMAIN 578..680; /note=""Ig-like C2-type 7""; DOMAIN 796..1066; /note=""Protein kinase; inactive""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily",PTK7 CCK4
6vgl,O60674,JAK2_HUMAN,"DOMAIN 37..380; /note=""FERM""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00084""; DOMAIN 401..482; /note=""SH2; atypical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 545..809; /note=""Protein kinase 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 849..1124; /note=""Protein kinase 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, JAK subfamily",JAK2
6vh4,P00533,EGFR_HUMAN,"DOMAIN 712..979; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, EGF receptor subfamily",EGFR ERBB ERBB1 HER1
6vhg,P07949,RET_HUMAN,"DOMAIN 168..272; /note=""Cadherin""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00043""; DOMAIN 724..1016; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family",RET CDHF12 CDHR16 PTC RET51
6vhn,P00533,EGFR_HUMAN,"DOMAIN 712..979; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, EGF receptor subfamily",EGFR ERBB ERBB1 HER1
6vhp,P00533,EGFR_HUMAN,"DOMAIN 712..979; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, EGF receptor subfamily",EGFR ERBB ERBB1 HER1
6vn8,O60674,JAK2_HUMAN,"DOMAIN 37..380; /note=""FERM""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00084""; DOMAIN 401..482; /note=""SH2; atypical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 545..809; /note=""Protein kinase 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 849..1124; /note=""Protein kinase 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, JAK subfamily",JAK2
6vnb,O60674,JAK2_HUMAN,"DOMAIN 37..380; /note=""FERM""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00084""; DOMAIN 401..482; /note=""SH2; atypical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 545..809; /note=""Protein kinase 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 849..1124; /note=""Protein kinase 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, JAK subfamily",JAK2
6vnc,O60674,JAK2_HUMAN,"DOMAIN 37..380; /note=""FERM""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00084""; DOMAIN 401..482; /note=""SH2; atypical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 545..809; /note=""Protein kinase 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 849..1124; /note=""Protein kinase 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, JAK subfamily",JAK2
6vne,O60674,JAK2_HUMAN,"DOMAIN 37..380; /note=""FERM""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00084""; DOMAIN 401..482; /note=""SH2; atypical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 545..809; /note=""Protein kinase 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 849..1124; /note=""Protein kinase 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, JAK subfamily",JAK2
6vnf,O60674,JAK2_HUMAN,"DOMAIN 37..380; /note=""FERM""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00084""; DOMAIN 401..482; /note=""SH2; atypical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 545..809; /note=""Protein kinase 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 849..1124; /note=""Protein kinase 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, JAK subfamily",JAK2
6vng,O60674,JAK2_HUMAN,"DOMAIN 37..380; /note=""FERM""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00084""; DOMAIN 401..482; /note=""SH2; atypical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 545..809; /note=""Protein kinase 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 849..1124; /note=""Protein kinase 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, JAK subfamily",JAK2
6vnh,O60674,JAK2_HUMAN,"DOMAIN 37..380; /note=""FERM""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00084""; DOMAIN 401..482; /note=""SH2; atypical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 545..809; /note=""Protein kinase 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 849..1124; /note=""Protein kinase 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, JAK subfamily",JAK2
6y7z,P47811,MK14_MOUSE,"DOMAIN 24..308; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Mus musculus (Mouse),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",Mapk14 Crk1 Csbp1 Csbp2
6y80,P47811,MK14_MOUSE,"DOMAIN 24..308; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Mus musculus (Mouse),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",Mapk14 Crk1 Csbp1 Csbp2
6y81,P47811,MK14_MOUSE,"DOMAIN 24..308; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Mus musculus (Mouse),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",Mapk14 Crk1 Csbp1 Csbp2
6y82,P47811,MK14_MOUSE,"DOMAIN 24..308; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Mus musculus (Mouse),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",Mapk14 Crk1 Csbp1 Csbp2
6y85,P47811,MK14_MOUSE,"DOMAIN 24..308; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Mus musculus (Mouse),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",Mapk14 Crk1 Csbp1 Csbp2
6y89,P25321,KAPCA_CRIGR,"DOMAIN 44..298; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 299..351; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""",Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, cAMP subfamily",PRKACA
6y89,P63248,IPKA_MOUSE,,Mus musculus (Mouse),PKI family,Pkia
6y8c,P25321,KAPCA_CRIGR,"DOMAIN 44..298; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 299..351; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""",Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, cAMP subfamily",PRKACA
6y8c,P63248,IPKA_MOUSE,,Mus musculus (Mouse),PKI family,Pkia
6y8h,P47811,MK14_MOUSE,"DOMAIN 24..308; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Mus musculus (Mouse),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",Mapk14 Crk1 Csbp1 Csbp2
6y9r,P49841,GSK3B_HUMAN,"DOMAIN 56..340; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, GSK-3 subfamily",GSK3B
6y9s,P49841,GSK3B_HUMAN,"DOMAIN 56..340; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, GSK-3 subfamily",GSK3B
6yat,Q13043,STK4_HUMAN,"DOMAIN 30..281; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 433..480; /note=""SARAH""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00310""",Homo sapiens (Human),"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",STK4 KRS2 MST1
6ycu,P47811,MK14_MOUSE,"DOMAIN 24..308; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Mus musculus (Mouse),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",Mapk14 Crk1 Csbp1 Csbp2
6ycw,P47811,MK14_MOUSE,"DOMAIN 24..308; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Mus musculus (Mouse),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",Mapk14 Crk1 Csbp1 Csbp2
6yf8,Q13627,DYR1A_HUMAN,"DOMAIN 159..479; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MNB/DYRK subfamily",DYRK1A DYRK MNB MNBH
6yfz,O14733,MP2K7_HUMAN,"DOMAIN 120..380; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily",MAP2K7 JNKK2 MEK7 MKK7 PRKMK7 SKK4
6yg0,O14733,MP2K7_HUMAN,"DOMAIN 120..380; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily",MAP2K7 JNKK2 MEK7 MKK7 PRKMK7 SKK4
6yg1,O14733,MP2K7_HUMAN,"DOMAIN 120..380; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily",MAP2K7 JNKK2 MEK7 MKK7 PRKMK7 SKK4
6yg2,O14733,MP2K7_HUMAN,"DOMAIN 120..380; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily",MAP2K7 JNKK2 MEK7 MKK7 PRKMK7 SKK4
6yg3,O14733,MP2K7_HUMAN,"DOMAIN 120..380; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily",MAP2K7 JNKK2 MEK7 MKK7 PRKMK7 SKK4
6yg4,O14733,MP2K7_HUMAN,"DOMAIN 120..380; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily",MAP2K7 JNKK2 MEK7 MKK7 PRKMK7 SKK4
6yg5,O14733,MP2K7_HUMAN,"DOMAIN 120..380; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily",MAP2K7 JNKK2 MEK7 MKK7 PRKMK7 SKK4
6yg6,O14733,MP2K7_HUMAN,"DOMAIN 120..380; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily",MAP2K7 JNKK2 MEK7 MKK7 PRKMK7 SKK4
6yg7,O14733,MP2K7_HUMAN,"DOMAIN 120..380; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily",MAP2K7 JNKK2 MEK7 MKK7 PRKMK7 SKK4
